stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
3824,9,Tillekar Manapa Madhyamik Vidhyalay,18.4554,73.884003,Vishwakarma Institute of Technology & Vishwakrma University Main Gate,college,176.1
4553,9,St Stand Alandi,18.6735,73.893097,"Shri Sai Hospital, Pune",hospital,169.9
106605,9,Dalkar Vasti,18.4854021980522,74.1330500546749,Suyash Hospital,hospital,256.4
106606,9,Kamthe Agro,18.4840437933166,74.132846365253,Suyash Hospital,hospital,408.3
106643,9,Purandar High School Saswad,18.346071639076,74.0333636371031,"Rural Hospital, Saswad",hospital,305.9
106604,9,Vishnu Krupa Mangal Karyalay,18.4867758548133,74.1332431806076,Suyash Hospital,hospital,103.0
368,8,Bavdhangaon,18.5194,73.778801,"Om Hospital, Bavdhan",hospital,455.7
6241,8,Gawarwadi,18.5739,73.686096,Vedant Hospital,hospital,249.3
6242,8,Megapolis,18.5741350145076,73.688548887697,Vedant Hospital,hospital,119.9
6243,8,Megapolis,18.5748028903867,73.6886179026408,Vedant Hospital,hospital,66.8
6244,8,Gawarwadi,18.573799,73.6856,Vedant Hospital,hospital,300.0
369,8,D Palace,18.5175,73.780502,"Om Hospital, Bavdhan",hospital,181.2
370,8,Bank Of Maharashtra Bavdhan,18.5154726816723,73.7820502689127,"Om Hospital, Bavdhan",hospital,114.0
371,8,Shinde Nagar Bawdhan,18.512199,73.782303,"Om Hospital, Bavdhan",hospital,476.7
5275,8,Master Bakery,18.6329,73.817101,"Chavan hospital, Pune",hospital,50.5
5278,8,Masulkar Colony,18.633699,73.807198,Prem Clinic and Hospital,hospital,151.1
5802,8,Mhada Colony Masulkar,18.633801,73.803497,lokmanya hospital,hospital,29.7
3229,8,Kumar Properties,18.463493,73.905258,"Healing Hands Clinic, Undri",hospital,372.3
3454,8,Loningaon,18.4846713520051,74.0256375074387,Loni Market Aathvde bajar.,marketplace,299.2
3130,8,Parge Nagar,18.469801,73.891296,Satyanand Hospital,hospital,295.7
3135,8,Military Hospital Vanawadi,18.5018845840417,73.8906499743462,Command Hospital Southern Command,hospital,193.1
3129,8,Kausar Bag,18.473499,73.891403,Lifeline Hospital,hospital,164.6
7542,8,Kalubai Rice Mill,18.8097,73.606682,Main Bazaar,marketplace,439.0
3453,8,Loningaon,18.484699,74.025497,Loni Market Aathvde bajar.,marketplace,305.8
7545,8,Swagat Kaman Takwe,18.8018,73.6073,Takawe Rural hospital,hospital,480.5
7544,8,Khandoba Chowk Takve Gaon,18.804899,73.609001,Main Bazaar,marketplace,148.0
7543,8,Takve Gaon,18.805925,73.608749,Main Bazaar,marketplace,32.2
5354,8,Kumbare Park,18.503201,73.798203,Ekalavya Shikshan Sanstha,college,295.7
5353,8,Guru Ganesh Nagar,18.502899,73.7995,Ekalavya Shikshan Sanstha,college,425.7
4497,8,Lakshmi Nagar Police Chowky,18.4916,73.849899,Yashashree Maternity and Nursing Home,hospital,326.9
7617,8,Infosys Phase 1,18.5858857506125,73.7339580418561,"Hope Foundation's International Institute of Information Technolohy, Pune",college,347.1
2905,8,Nhavare,18.662701,74.371597,"Rural Hospital, Nhavare",hospital,93.0
