shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_12,18.50812,73.8094,59
shape_12,18.5073,73.8073,60
shape_12,18.5073,73.8073,61
shape_12,18.50699,73.80424,62
shape_12,18.50699,73.80424,63
shape_12,18.5073,73.7999,64
shape_12,18.5073,73.7999,65
shape_12,18.50771,73.79708,66
shape_12,18.50771,73.79708,67
shape_12,18.5078,73.7947,68
shape_13,18.4475,73.85854,1
shape_13,18.44949,73.85817,2
shape_13,18.44949,73.85817,3
shape_13,18.45355,73.85836,4
shape_13,18.45355,73.85836,5
shape_13,18.45694,73.85833,6
shape_13,18.45694,73.85833,7
shape_13,18.46531,73.85797,8
shape_13,18.46531,73.85797,9
shape_13,18.46867,73.85757,10
shape_13,18.46867,73.85757,11
shape_13,18.47534,73.85616,12
shape_13,18.47534,73.85616,13
shape_13,18.48047,73.8571,14
shape_13,18.48047,73.8571,15
shape_13,18.48449,73.85747,16
shape_13,18.48449,73.85747,17
shape_13,18.49085,73.85757,18
shape_13,18.49085,73.85757,19
shape_13,18.49323,73.8577,20
shape_13,18.49323,73.8577,21
shape_13,18.49736,73.8579,22
shape_13,18.49736,73.8579,23
shape_13,18.49954,73.85812,24
shape_13,18.49954,73.85812,25
shape_13,18.5008,73.8565,26
shape_13,18.5008,73.8565,27
shape_13,18.50357,73.85363,28
shape_13,18.50357,73.85363,29
shape_13,18.5059,73.853,30
shape_13,18.5059,73.853,31
shape_13,18.5075,73.8509,32
shape_13,18.5075,73.8509,33
shape_13,18.50931,73.84791,34
shape_13,18.50931,73.84791,35
shape_13,18.51098,73.84557,36
shape_13,18.51098,73.84557,37
shape_13,18.51323,73.84096,38
shape_13,18.51323,73.84096,39
